Ref,Val,Package,PosX,PosY,Rot,Side
"C12","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",39.960000,-97.960000,-170.000000,bottom
"C16","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",47.330000,-31.870000,180.000000,bottom
"D2","LED","LED_D3.0mm_Clear",16.650000,-94.895000,90.000000,bottom
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",44.210000,-59.700000,-90.000000,bottom
"R3","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",41.039996,-80.890002,90.000000,bottom
"R4","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",43.040000,-80.900000,90.000000,bottom
"R5","20k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",39.050000,-80.880000,-90.000000,bottom
"R12","47","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",36.470000,-26.980000,-90.000000,bottom
"R13","47","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",36.150000,-31.570000,90.000000,bottom
"R14","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.420000,-109.400000,0.000000,bottom
"R15","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.450000,-106.830000,0.000000,bottom
"R16","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.430000,-104.310000,0.000000,bottom
"R17","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.420000,-101.760000,0.000000,bottom
"R18","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.450000,-99.230000,0.000000,bottom
"R19","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.430000,-96.690000,0.000000,bottom
"R20","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.440000,-94.150000,0.000000,bottom
"R21","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.460000,-91.610000,0.000000,bottom
"R24","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",51.250000,-58.070000,90.000000,bottom
"R25","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",51.280000,-54.110000,-90.000000,bottom
"R26","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",48.280000,-28.830000,-90.000000,bottom
"R27","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",42.390000,-54.680000,180.000000,bottom
"R28","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",42.370000,-52.740000,180.000000,bottom
"R29","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",47.290000,-34.150000,0.000000,bottom
"R30","330","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",46.520000,-67.860000,-90.000000,bottom
"U7","4051","SOIC-16_3.9x9.9mm_P1.27mm",38.970000,-105.215000,180.000000,bottom
