Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","CP_Radial_D5.0mm_P2.50mm",18.604889,-87.643031,-40.000000,top
"C2","47u","CP_Radial_D5.0mm_P2.50mm",14.800000,-84.015063,120.000000,top
"C4","10u","CP_Radial_D5.0mm_P2.50mm",30.520000,-77.910000,-90.000000,top
"C5","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",37.970000,-76.310000,90.000000,top
"C6","220n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",47.280000,-88.587500,90.000000,top
"C7","1000p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.715393,-68.674339,90.000000,top
"C8","470p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",27.092893,-71.561839,0.000000,top
"C9","1000p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",40.222500,-86.340001,0.000000,top
"C10","470p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",37.365003,-96.822501,-90.000000,top
"C11","1u","CP_Radial_D5.0mm_P2.50mm",22.540000,-48.420000,90.000000,top
"C13","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",46.600000,-79.320000,0.000000,top
"C14","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",21.272500,-63.770000,0.000000,top
"C15","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",15.967500,-101.530000,180.000000,top
"C17","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",49.632500,-29.750000,0.000000,top
"C18","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",45.260000,-36.222500,-90.000000,top
"C19","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",48.360000,-40.222500,-90.000000,top
"C20","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",45.145001,-92.950000,90.000000,top
"C21","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.620000,-40.210000,-90.000000,top
"D1","1N4148","D_SOD-323",33.330000,-23.487500,90.000000,top
"D3","LED","LED_D3.0mm_Clear",49.640000,-63.225000,90.000000,top
"FB1","FB","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",11.969998,-101.844999,90.000000,top
"J2","SPK_CONN","PinHeader_1x02_P2.54mm_Vertical",50.400000,-87.360000,180.000000,top
"J3","A_MUX_IN","PinHeader_1x08_P2.54mm_Vertical",50.630000,-91.525000,0.000000,top
"J6","LINE_OUT","Jack_3.5mm_CUI_SJ1-3535NG_Horizontal_NO_FRONT",15.140000,-20.645000,0.000000,top
"J7","I2C_CONN","PinHeader_1x02_P2.54mm_Vertical",49.210000,-57.610000,180.000000,top
"J8","TOUCH_IN","PinHeader_2x04_P2.54mm_Vertical",20.245000,-59.940000,180.000000,top
"J10","A_AUX1","Pin_D1.0mm_L10.0mm",25.860000,-53.210000,0.000000,top
"J11","A_AUX2","Pin_D1.0mm_L10.0mm",25.890000,-56.330000,0.000000,top
"J12","+3v3 Conn","PinHeader_1x03_P2.54mm_Vertical",24.630000,-87.720000,90.000000,top
"J13","Barrel_Jack","BarrelJack_Horizontal",15.430000,-104.900000,90.000000,top
"J14","GPIO_12","Pin_D1.0mm_L10.0mm",33.490000,-66.600000,0.000000,top
"J15","GPIO_13","Pin_D1.0mm_L10.0mm",37.970000,-67.030000,0.000000,top
"J16","GND_Conn","PinHeader_1x03_P2.54mm_Vertical",20.220000,-96.820000,0.000000,top
"J17","USB_B_Micro","USB_Micro-B_Molex-105017-0001",14.307500,-42.750000,-90.000000,top
"J18","MIDI_OUT_JACK","Jack_3.5mm_CUI_SJ1-3535NG_Horizontal_NO_FRONT",39.140000,-20.690000,0.000000,top
"J19","CV1","Pin_D1.0mm_L10.0mm",50.230000,-44.430000,0.000000,top
