Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C5,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,37.97,-76.31,90,top
C6,220n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47.28,-88.5875,90,top
C7,1000p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,16.715393,-68.674339,90,top
C8,470p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,27.092893,-71.561839,0,top
C9,1000p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,40.2225,-86.340001,0,top
C10,470p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,37.365003,-96.822501,-90,top
C13,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,46.6,-79.32,0,top
C14,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,21.2725,-63.77,0,top
C15,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,15.9675,-101.53,180,top
C17,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,49.6325,-29.75,0,top
C18,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,45.26,-36.2225,-90,top
C19,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,48.36,-40.2225,-90,top
C20,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,45.145001,-92.95,90,top
C21,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,50.62,-40.21,-90,top
D1,1N4148,D_SOD-323,33.33,-23.4875,90,top
J17,USB_B_Micro,USB_Micro-B_Molex-105017-0001,14.3075,-42.75,-90,top
R1,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,16.49,-97.11,0,top
R7,7k5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,15.865393,-65.771839,180,top
R8,7k5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,14.61,-68.73,-90,top
R9,7k5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,43.155001,-85.470001,90,top
R10,7k5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,40.26,-84.32,180,top
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,26.34,-48.77,-90,top
R22,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,33.33,-28.38,90,top
R23,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,48.4,-51.33,90,top
R31,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,27.125393,-69.561839,0,top
R32,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,26.245393,-66.691839,90,top
R33,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,42.235002,-95.88,0,top
R34,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,39.365001,-96.780002,-90,top
U1,MCP6002-xMC,SOIC-8_3.9x4.9mm_P1.27mm,49.18,-34.53,180,top
U2,LM1117-3.3,SOT-223,21.83,-81.72,-90,top
U3,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,41.390003,-91.135002,180,top
U5,PT8211,SOIC-8_3.9x4.9mm_P1.27mm,44.775,-75.575,-90,top
U9,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,21.505393,-67.531839,-90,top
