Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,CP_Radial_D5.0mm_P2.50mm,18.604889,-87.643031,-40,top
C2,47u,CP_Radial_D5.0mm_P2.50mm,14.8,-84.015063,120,top
C3,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,32.54,-75.95,90,top
C4,10u,CP_Radial_D5.0mm_P2.50mm,30.48,-78.884888,-90,top
C5,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,37.67,-78.26,-90,top
C6,220n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47.28,-88.5875,90,top
C7,1000p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,44.1475,-85.935002,90,top
C8,470p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,38.64,-87.37,-90,top
C9,1000p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,49.95,-95.4125,-90,top
C10,470p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,38.689999,-93.452501,90,top
C11,1u,CP_Radial_D5.0mm_P2.50mm,22.54,-48.42,90,top
C13,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,46.6,-79.32,0,top
C14,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,50.660001,-40.272501,90,top
C15,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,15.9675,-101.53,180,top
C17,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,49.6325,-29.75,0,top
C18,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,45.26,-36.2225,-90,top
C19,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,48.36,-40.2225,-90,top
C20,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,45.700001,-93.405001,90,top
C23,1u,CP_Elec_4x5.4,29.12,-69.95,-90,top
C24,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,26.810001,-74.327499,-90,top
C26,1u,CP_Elec_4x5.4,13.15,-61.54,-90,top
D1,1N4148,D_SOD-323,33.33,-23.4875,90,top
D3,LED,LED_D3.0mm_Clear,49.64,-63.225,90,top
FB1,FB,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,11.969998,-101.844999,90,top
J2,SPK_CONN,PinHeader_1x02_P2.54mm_Vertical,50.23,-91.72,180,top
J3,A_MUX_IN,PinHeader_2x04_P2.54mm_Vertical,47.88,-101.51,0,top
