Ref,Val,Package,PosX,PosY,Rot,Side
"C4","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",30.540000,-79.602500,-90.000000,bottom
"C12","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",39.960000,-97.960000,-170.000000,bottom
"C16","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",47.330000,-31.870000,180.000000,bottom
"C21","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",21.270002,-25.799999,90.000000,bottom
"C22","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",22.469998,-75.340001,90.000000,bottom
"C27","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",15.270000,-76.600000,180.000000,bottom
"C28","1p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",23.167500,-67.410000,180.000000,bottom
"C29","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.299999,-33.769997,90.000000,bottom
"C30","1p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",24.690000,-83.172500,-90.000000,bottom
"D2","LED","LED_D3.0mm_Clear",21.124999,-93.060001,180.000000,bottom
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",44.210000,-59.700000,-90.000000,bottom
"R3","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",41.039996,-80.890002,90.000000,bottom
"R4","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",43.040000,-80.900000,90.000000,bottom
"R5","20k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",39.050000,-80.880000,-90.000000,bottom
"R12","47","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",36.470000,-26.980000,-90.000000,bottom
"R13","47","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",36.150000,-31.570000,90.000000,bottom
"R14","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.387501,-109.319999,0.000000,bottom
"R15","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.387502,-106.809997,0.000000,bottom
"R16","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.387502,-104.300001,0.000000,bottom
"R17","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.387502,-101.789999,0.000000,bottom
"R18","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.387501,-99.279997,0.000000,bottom
"R19","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.387500,-96.770000,0.000000,bottom
"R20","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.387499,-94.260001,0.000000,bottom
"R21","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",28.387498,-91.750000,0.000000,bottom
"R24","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",51.250000,-58.070000,90.000000,bottom
"R25","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",51.280000,-54.110000,-90.000000,bottom
"R26","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",48.280000,-28.830000,-90.000000,bottom
"R27","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",42.390000,-54.680000,180.000000,bottom
"R28","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",42.370000,-52.740000,180.000000,bottom
"R30","330","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",46.520000,-67.860000,-90.000000,bottom
"U7","4051","SOIC-16_3.9x9.9mm_P1.27mm",38.970000,-105.215000,180.000000,bottom
