Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,51.697500,-89.630000,0.000000,top
C2,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,50.749999,-92.142501,-90.000000,top
C3,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,39.247497,-39.820001,0.000000,top
C4,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,36.699998,-95.584998,180.000000,top
C5,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,32.587498,-95.594998,0.000000,top
C6,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,39.269999,-100.177499,90.000000,top
C7,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,30.079998,-100.164998,-90.000000,top
C8,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,34.829998,-102.614998,180.000000,top
C9,2u2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,25.389999,-68.227497,90.000000,top
C10,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,28.180000,-67.770000,20.000000,top
C11,2u2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,36.087497,-56.870001,0.000000,top
C12,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,36.084998,-58.400002,0.000000,top
C13,2u2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,25.350000,-60.860000,90.000000,top
C14,2u2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,26.929999,-64.747499,90.000000,top
C15,220n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,44.640000,-99.910000,60.000000,top
C16,0.15uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,28.350000,-61.300000,-70.000000,top
C17,2u2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,36.290000,-63.460000,0.000000,top
C18,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,32.015000,-52.495001,90.000000,top
C19,2u2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,30.429286,-58.924405,40.000000,top
C20,22u,C_1210_3225Metric,48.250000,-96.520000,90.000000,top
C21,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,30.930714,-60.525595,40.000000,top
C22,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,35.830002,-46.022502,-90.000000,top
C23,2u2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,27.810000,-55.140000,170.000000,top
C24,2u2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.387499,-54.960002,180.000000,top
C25,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.339999,-38.582501,-90.000000,top
C26,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,37.380002,-46.030004,-90.000000,top
C27,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.339999,-41.947503,90.000000,top
D1,LED,LED_D3.0mm_Clear,25.440000,-75.220000,180.000000,top
D3,1N4148,D_SOD-323,40.360000,-17.537501,90.000000,top
FB1,120,L_0603_1608Metric,50.011995,-103.113750,-30.000000,top
FB2,600,L_0603_1608Metric,32.236740,-61.416195,40.000000,top
